sku,name,description,category,brand,price
OPGINES,O-PLUS GINES VRIJSTAAND BAD 160X77 MATWIT INCL AFVOER,,,ECK,3500.0
OPBEATA168,O-PLUS BEATA VRIJSTAAND BAD GELCOAT 1680X830 WIT INCL SIFON EN POP-UP CHROOM,,,ECK,2245.0
OPBEATAMAT168,O-PLUS BEATA VRIJSTAAND BAD GELCOAT 1680X830 MAT WIT INCL SIFON EN POP-UP MAT WI,,,ECK,2390.0
RIB118001105,"RIHO BILBAO SOLID BAD 170X80X55,5, MATWIT",,,ECK,2999.0
RI207041,"RIHO HOOFDKUSSEN UNISOFT 25X16,  ZWART0",,,ECK,84.0
RI207710,RIHO SOLID ONDERHOUDSPASTA (REFILL)0,,,ECK,34.0
RI211420,"RIHO BAMBOO PLANCHET M67/71, HOUTKLEURWIT",,,ECK,175.0
RI207003,"RIHO BAMBOO PLANCHET M 67/71, HOUTKLEURWIT",,,ECK,175.0
RIB141001105,"RIHO LINARES ACRYL INBOUWBAD 170X75 R, VELVET WIT",,,ECK,846.0
RIB142001105,"RIHO LINARES ACRYL INBOUWBAD 180X80, VELVET WIT",,,ECK,932.0
RIB143001105,"RIHO LINARES ACRYL INBOUWBAD 190X90, VELVET WIT",,,ECK,1014.0
KA205043530001,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,ALPW,MET GELUIDSISOL.",,,ECK,4797.0
KA205043530711,"KALDEWEI BW MST OYO DUO 1050, 1630 X 770, ALPWM,MET",,,ECK,5756.0
KA205043530661,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,WB20,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530668,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,WG10,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530671,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,WG60,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530663,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,CG30,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530665,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,CG70,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530667,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1050-4034 ,1630X770MM,CG90,MET GELUIDSISOL.",,,ECK,5756.0
KA205043530676,"KALDEWEI BW MST OYO DUO MOD.1050-4034,1630X770MM,BLACKMT,MET GELUIDSISOL.,KA4034",,,ECK,5756.0
KA205143530001,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,ALPW,MET GELUIDSISOL.",,,ECK,5014.0
KA205143530711,"KALDEWEI BW MST OYO DUO 1051, 1730 X 820, ALPWM,MET",,,ECK,6016.0
KA205143530661,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,WB20,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530668,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,WG10,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530671,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,WG60,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530663,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,CG30,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530665,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,CG70,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530667,"KALDEWEI BW MEISTERSTÜCK OYO DUO MOD.1051-4034 ,1730X820MM,CG90,MET GELUIDSISOL.",,,ECK,6016.0
KA205143530676,"KALDEWEI BW MST OYO DUO 1051, 1730 X 820, SM100,MET",,,ECK,6016.0
OPMITHOS180,O-PLUS LIGBAD MITHOS 180X80 WIT0,,,ECK,599.0
OPMITHOS190,O-PLUS LIGBAD MITHOS 190X90 WIT0,,,ECK,699.0
OPNAXOS,O-PLUS LIGBAD NAXOS 180X80 WIT0,,,ECK,549.0
OPRONDO170,O-PLUS LIGBAD RONDO 170X70 WIT0,,,ECK,387.0
OPRONDO180,O-PLUS LIGBAD RONDO 180X80 WIT0,,,ECK,23.0
OPMANZALA,O-PLUS MANZALA INBOUWBAD 180X80 MAT WIT0,,,ECK,129.0
OPVERONA170,O-PLUS LIGBAD VERONA 170X75 WIT0,,,ECK,303.0
OPVERONA180,O-PLUS LIGBAD VERONA 180X80 WIT0,,,ECK,227.0
OPVERONADUO,O-PLUS LIGBAD VERONA 180X80 WIT0,,,ECK,270.8
OPVENICE,"O-PLUS VENICE VRIJSTAAND BAD 170 X 80 CMACRYL, GEINTEGREERDE OVERLOOP EN WIT POP",,,ECK,191.26
